id	filename	description	tag
44	sounds/taunts/fixed_problem-1.wav	Have you fixed your little problem?	
45	sounds/taunts/good_luck-1.wav	Good luck with that.	
46	sounds/taunts/works_out-1.wav	Let me know how that works out for you.	
47	sounds/taunts/slow_ahead-3.wav	I may be slow, but I'm ahead of you.	
48	sounds/taunts/classy-3.wav	Classy.	
49	sounds/taunts/tutorials_noob-1.wav	Play the tutorials, noob.	
50	sounds/taunts/wake_done-1.wav	Wake me up when you're done.	
51	sounds/taunts/get_outta-3.wav	Get outta my face.	
52	sounds/taunts/leavemealone-2.wav	Leave me alone.	
53	sounds/taunts/need_that-3.wav	Cause you need that.	
54	sounds/taunts/over_yet-4.wav	Is it over yet?	
55	sounds/taunts/parents_late-2.wav	Do your parents know you're up this late?	
56	sounds/taunts/you_ok-1.wav	You okay over there?	
57	sounds/taunts/stayout-1.wav	And stay out!	
58	sounds/taunts/bwahaha-1.wav	Bwa ha ha ha ha!	
59	sounds/taunts/stormin_castle-1.wav	Have fun stormin the castle.	
60	sounds/taunts/randomrandom-2.wav	Random! Random!	
61	sounds/taunts/randomrandom-4.wav	RanDOM! RanDOM!	
62	sounds/taunts/game_begin-3.wav	Let the game begin.	
63	sounds/taunts/dude_pickem-1.wav	Dude, we know who you're going to take. Just pick 'em and get on with it.	
64	sounds/taunts/click_understand-2.wav	Which part of 'Click in' didn't you understand?	
65	sounds/taunts/what_holdup-2.wav	What's the holdup?	
66	sounds/taunts/ahh-1.wav	Ahhh.	
67	sounds/taunts/uhh_uhh-1.wav	Unh Unh Unh.	
68	sounds/taunts/ohhh-4.wav	Ohhh.	
69	sounds/taunts/uhhh-2.wav	Ughhhhhhhh.	
70	sounds/taunts/unh-3.wav	Unh!	
71	sounds/taunts/doomed-1.wav	We're doomed!	
72	sounds/taunts/wanngiveup-2.wav	Wanna give up?	
73	sounds/taunts/victoryismine-3.wav	Victory is mine!	
74	sounds/taunts/owmyeye-1.wav	Oww! My eye!	
75	sounds/taunts/notintheface-1.wav	Not in the face! Not in the face!	
76	sounds/taunts/coming-4.wav	Coming.	
77	sounds/taunts/berightthere-1.wav	Be right there.	
78	sounds/taunts/onmyway-1.wav	On my way.	
79	sounds/taunts/send_help-1.wav	I'm trying to send some help.	
80	sounds/taunts/gotchacovered-3.wav	Gotcha covered.	
81	sounds/taunts/check-2.wav	Check.	
82	sounds/taunts/itshallbedone-1.wav	It shall be done.	
83	sounds/taunts/rightonthat-2.wav	Let me get right on that.	
84	sounds/taunts/sweet-3.wav	Sweet.	
85	sounds/taunts/youdaman-2.wav	You da man.	
86	sounds/taunts/talking_about-1.wav	That's what I'm talking about.	
87	sounds/taunts/takencareof-3.wav	Consider it taken care of.	
88	sounds/taunts/soundslikeaplan-2.wav	Sounds like a plan.	
89	sounds/taunts/groovy-3.wav	Groovy.	
90	sounds/taunts/color_red-1.wav	Red	
91	sounds/taunts/color_blue-1.wav	Blue	
92	sounds/taunts/color_purple-2.wav	Purple	
93	sounds/taunts/color_green-1.wav	Green	
94	sounds/taunts/color_yellow.wav	Yellow	
95	sounds/taunts/color_ltblue-1.wav	Light Blue	
96	sounds/taunts/color_white-3.wav	White	
97	sounds/taunts/color_orange-2.wav	Orange	
98	sounds/taunts/humanity-3.wav	Aaaaagh! The Humanity!	
99	sounds/taunts/getthat-3.wav	Let me get that for you.	
100	sounds/taunts/keep_risin-1.wav	They keep on rising!	
101	101 Led Zeppelin - Immigrant Song(laugh).wav	*Led Zeppelin - Immigrant Song*	
102	102 haha.wav	Haha!	
103	103 tnt_tick.wav	*Bomb*	
104	104 chicken.wav	Chicken!	
105	105 goodbad.wav	*Western Sound*	
106	106 clearout.wav	Better Clear out!	
107	107 AwwMan.wav	Aww Man	
108	108 Awwcrap.wav	AWW Crap.	
109	109 lostlead.wav	Lost Lead.	
110	110 takenlead.wav	Taken Lead	
111	111 tiedlead.wav	Tied For Lead, Better get going.	
112	112 futileattemps.wav	Your attempts are futile	
113	113 omega.wav	Cheating Bastard.	
114	114 whin.wav	Stop Whining.	
115	115 daddy.wav	Who's your daddy?.	
116	116 excellant.wav	Excellent.	
117	117 shutup.wav	Shut up fool!.	
118	118 idontthinkso.wav	I don't think so.	
119	119 startgame.wav	Start the game already!	
120	120 iamweak.wav	I am weak.	
121	121 gotsomesatisfaction.wav	I just got some satisfaction.	
122	122 zerotolerance.wav	Zero Tolerance.	
123	123 ohyeah.wav	Oh Yeah.	
124	124 South Park - Towelie - I am so high.wav	I am so high.	
125	125 why.wav	Why is everybody riding me today?	
126	126 bitch.wav	You're goin' down!	
127	127 outnow.wav	Well now you'll gonna get it motherfucker! That's right, you and me, right now, we're havin' it out ! Let's go ! C'mon ! C'mon !	
128	128 righton.wav	Right on!	
129	129 attacked.wav	I'm being attacked!	
130	130 sucks.wav	Sucks to be you.	
131	131 hello baby.wav	Hello... baby	
132	132 goodlookin.wav	Hehe! Good-looking	
133	133 goodmorning vietnam.wav	Goooooood Morning Vietnam!	
134	134 ladies and gentlemen welcome to my underground lair.wav	Ladies and Gentlemen, Welcome to my underground lair	
135	135 master master we have a visitor.wav	Master, Master, We have a visitor...	
136	136 welcome my brother.wav	Welcome my brother.	
137	137 welcome back my friend.wav	Welcome back my friend!	
138	138 All Hail.wav	All Hail for da King!	
139	139 so hmmm how you doing.wav	So, how you doing?	
140	140 shall we play a game.wav	Shall we play a game?	
141	141 Is everyone on a break.wav	Someone here? Hello? Is everyone on a break???	
142	142 Where your waiting for Christmas.wav	What are your waiting for? Christmas?	
143	143 everybody online looking good.wav	Everybody online?? Looking good!	
144	144 Oh joy what a beautifull day.wav	Oh joy! What a beautiful day...	
145	145 welcome to the internet my friend how can i help you.wav	Welcome to the internet my friend, How can I help you???	
146	146 So you are a user.wav	So you are a user...fascinating!	
147	147 oh oh we got a moron here.wav	Oh, Oh... We got a moron here...	
148	148 newbie.wav	Newbie!	
149	149 Let's See what you're made of.wav	Let's see, what you're made of!!!	
150	150 I show you a function or two.wav	I show you, a function or two...	
151	151 Shut Up.wav	Shut Up!!!	
152	152 remember the force will be with you always.wav	FSF Remember the force will be with you... Always!	
153	153 Attack them now.wav	Attack them now!!!	
154	154 Im in position.wav	I'm in position...	
155	155 We're beying watched.wav	We're being watched... (by scout and/or spies)	
156	156 Why did you do that for.wav	You clumsy poop! Why did you do that for???	
157	157 Sir Yes Sir!.wav	Sir!, Yes!, Sir!	
158	158 woody laugh.wav	Laughing Out Loud!	
159	159 infinity.wav	I start my attack! Back me up when needed... I don't like a 2vs1	
160	160 Rock and Roll.wav	Rock and Roll!!! I attack all who dare to face me!!!	
161	161 you cant hide from me i know all the shortcuts.wav	You can run, but you can't hide from me...I know all the shortcuts!	
162	162 You Will Bow.wav	Before this is over, you Will kneel and bow before me, begging to spare your live...	
163	163 feelthecorruption.wav	Feel the corruption...	
164	164 He I'm in your town.wav	He! I'm in your town!	
165	165 Were Taking This Place.wav	I think, I like this city, We're taking this place over...	
166	166 Sorry I only ment to wound you.wav	Resigned?!? Sorry, I only meant to wound you...	
167	167 You die too easily.wav	You die too easily!!!	
168	168 See You In Hell.wav	See You In Hell.	
169	169 Damn Im Good.wav	Damn I'm Good!!!	
170	170 Yeh man that team sucked.wav	Yeh, man that team sucked... It was too easy!!!	
171	171 Couldn't let you have all the glory.wav	Couldn't let you have all the glory...	
172	172 Stinker.wav	Am I a stinker???	
173	173 Remind me.wav	Remind me to kill you later!! Well... Let's do it now...	
174	174 Here They Come.wav	Here They Come... Fire!!!	
175	175 Leave Me Alone.wav	Leave Me Alone!	
176	176 Will evil never rest.wav	Will evil never rest?!?	
177	177 Ill Teach You.wav	I'll teach you to come near to my cities, I eat people like you for breakfast!!!	
178	178 Help I need somebody01.wav	Help, I need somebody, Help, not just anybody, Help, you know I need someone, help!!!	
179	179 Help me if you can.wav	Help me if you can, I'm feeling down... And I do appreciate you being round...	
180	180 Would you please please help me.wav	Help me, get my feet back on the ground... Won't you please, please help me?!?	
181	181 I cant take it anymore.wav	I can't take it anymore...	
182	182 Thank you.wav	THANK YOU! My friend.	
183	183 now go away or i shall taunt you a second time.wav	Now go away... or I shall taunt you a second time...	
184	184 they are coming to take me away.wav	They are coming to take me away...	
185	185 We Surrender.wav	We Surrender...Move a little closer.	
186	186 I Hate You.wav	I hate you!	
187	187 i will leave you now but you wont defeat me.wav	I will leave you now... but you wont defeat me...	
188	188 goodnite stupid.wav	Goodnight stupid.	
189	189 forgoing.wav	I regret to announce, this is the end! I am going now... I bid you all, a very fond farewell...	
190	190 gnight ladies- goodnight Sir.wav	G'night ladies...Goodnight Sir!	
191	191 fragmentedperformance.wav	Shit... This game is laggy...=(	
192	192 getaloadofthatjunkdata.wav	Please all turn off other programs running in the background... please!	
193	193 illegalprogramtermination.wav	It's GameSpy again...	
194	194 lowsamplejunk.wav	Man... This tauntpack sucks...	
195	195 nopermissionnoadmission.wav	Woooo... holdup script no permission no admission...READ THE DESCRIPTION PLEASE!!!	
196	196 addressthosebugsinnextpatch.wav	You address those bugs in the next patch???	
197	197 therecanbeonlyonemaster.wav	There can be only one Master... IN THIS CASE: _FSF_[NL]Fedomar!!!	
198	198 therecanbeonlyonemaster.wav	There can be only one Master!	
199	199 mmm unprocessed FishSticks.wav	Hmmm unprocessed FishSticks...	
200	200 keep_risin-1.wav	The Fish Stick Foundation!	
201	201 Darth.wav	Indeed you are powerful.	
202	202 av-ohyes.wav	Yes! Yes! Oh, yeah! Can you feel that buddy? Huh? Huh? Huh?!	
203	203 av2-selfish.wav	Of course, how selfish of me... let's do all the things that you wanna do.	
204	204 beveryquiet.wav	Be vewy vewy quiet. I'm hunting wabbits.	
205	205 excuse_me.wav	Excuseeeeeeeeeeeee meeeeeeeeeeeeeeeee!	
206	206 911.wav	Somebody call 911!	
207	207 musthaveprecious.wav	We wants it. We needs it. Must have the precious!	
208	208 precious1.wav	My Precious!	
209	209 precious2.wav	My Precious!!!	
210	210 doesntanyonelisten.wav	Doesn't anyone listen to one damn word I say?!?	
211	211 simp193.wav	I didn't think it was physically possible that this both sucks and blows.	
212	212 ohno2.wav	Oh no! Oh no! Oho oh no! No! No! No! No! Nooo!	
213	213 feelgood.wav	Whoa! I feel good, I knew that I would now, so good, so good, I've got you!	
214	214 10secs.wav	Is it possible for you to STFU for ten seconds?	
215	215 av-loser.wav	La-hew... Za-her.	
216	216 av-right.wav	All-righty then!	
217	217 badolputty.wav	Bad ol' putty cat !	
218	218 destruction.wav	Prepare yourself for destruction!!!	
219	219 dumb-idea.wav	I think I just... yeah... I just had an idea.	
220	220 awesome.wav	This is awesome... We're going to be like 'pow-pow-pow' and they going to be like 'arrghhhh'	
221	221 happening2.wav	Why does this keep happening to me?!	
222	222 pitiful2human.wav	Pitiful human!!!	
223	223 razorsharp.wav	Oh no! How could my razor-sharp intellect betray me?	
224	224 tick3.wav	I am mighty!	
225	225 bendover.wav	It is time for me to bend over and receive my destiny.	
226	226 3steps.wav	You'd need three promotions to get to be an asshole.	
227	227 dissapointed.wav	Disappointed!!!	
228	228 assholemio.asp.wav	Assholemioooo!!!!	
229	229 assmine.wav	Your ass is mine.	
230	230 beavisheheheheh.wav	Heheheheh.	
231	231 stopme.asp.wav	Somebody stop me !	
232	232 let's rock.asp.wav	Let's ROCK this joint !	
233	233 smokin.asp.wav	SMOKIN' !!!!	
234	234 meepmeep.asp.wav	Meep Meep!	
235	235 speedy.asp.wav	Faster, faster!	
236	236 goodmen.wav	The marines are looking for a few good men. Unfortunately you ain't it.	
237	237 flesh.wav	You will taste man flesh!	
238	238 remove.wav	We have only to remove those who oppose us.	
239	239 Duke5.wav	You're gonna get accidentally shot!	
240	240 work.wav	We have work to do!	
241	241 bibi.wav	Bibbidi-bobbidi-boo!	
242	242 bitch.wav	Oh bitch bitch bitch!	
243	243 chrischicken.wav	Hey! Guess who's here... What are we serving today, chicken or... chicken?	
244	244 adult.wav	Due to mature adult content parental discretion is advised.	
245	245 child.wav	To say you behave childishly is an insult to children everywhere.	
246	246 dexter.wav	It never fails to surprise me how completely without intelligence you are.	
247	247 youranidiot.wav	First of all you are an idiot, and second... nah.. that pretty much covers it.	
248	248 ruamoron.wav	Are you some kind of moron?	
249	249 shag.wav	Shall we shag now or shall we shag later?	
250	250 failure.wav	Let this be a reminder to you all that this organization will not tolerate failure.	
251	251 sexybody.wav	Look at my sexy body.	
252	252 hallelujah.wav	Hallelujah!	
253	253 mymomma.wav	My momma can do better than that!	
254	254 comeforyou.wav	I have come for you! I am death!	
255	255 goaway.wav	Go away!!!	
256	256 ask.wav	May I ask sir what more you require?	
257	257 gogirl.wav	You go girl!	
258	258 aspirin.wav	Where is my Aspirin?	
259	259 momgod.wav	Sweet mother of God, what is the hold up?!	
260	260 nobodylikesyou.wav	You don't have any friends. Nobody likes you.	
261	261 strikenow.wav	We have to strike now, sir! Annihilate! Kill! Kill! Kill!	
262	262 genius.wav	You're such a genius!	
263	263 lovegame.wav	I love this game.	
264	264 onlypower.wav	There is no Good and Evil. There is only Power, and those too weak to seek it.	
265	265 nervous.wav	Should I be nervous?	
266	266 runaway.wav	RUN AWAY!	
267	267 death.wav	Death has come to your little town.	
268	268 weapon.wav	My body is a weapon. Use it!	
269	269 yeahbaby.wav	Yeah baby!	
270	270 meow.wav	Meow! Meow! Meow!	
271	271 madcow.wav	*MAD COW*	
272	272 Sheep.wav	*SHEEP*	
273	273 moo.wav	*COW*	
274	274 turkey.wav	*TURKEY*	
275	275 goat.wav	*GOAT*	
276	276 chicken.wav	*CHICKEN*	
277	277 frogs.wav	*FROG*	
278	278 lion.wav	*LION*	
279	279 momma2.wav	Stay away from me you horse's ass!	
280	280 hasta.wav	Hasta la vista, baby.	
281	281 weakest.wav	You are the weakest link. Goodbye!	
282	282 back.wav	I'll be back.	
283	283 friend.wav	I'm having an old friend for dinner.	
284	284 weasel.wav	I've got a plan so cunning you could put a tail on it and call it a weasel.	
285	285 talk.wav	If I wanted to talk to a vegetable I would bought one at the market.	
286	286 powerofisengard.wav	The power of Isengard is at your command, Sauron, Lord of the Earth.	
287	287 rulemiddle-earth.wav	Together, my lord Sauron, we shall rule this Middle–Earth.	
288	288 offer.wav	I'm gonna make him an offer he can't refuse.	
289	289 seedead.wav	I see dead people.	
290	290 change.wav	Keep a change you filthy animal.	
291	291 idiots.wav	I'm surrounded by idiots.	
292	292 meme.wav	Me, me, me, me, me, me!	
293	293 fu.wav	Fuck you asshole.	
294	294 stick.wav	I stick my neck out for nobody.	
295	295 lock.wav	That would be all, just be sure to lock the door behind you. Good night.	
296	296 cant.wav	I can't let this happen. I will not allow it. I mean look at this people.	
297	297 fame.wav	Clearly fame is not everything.	
298	298 jump.wav	When I give an order, you jump!	
299	299 good.wav	Why are you so good to me?	
300	300 boom.wav	Boom baby boom!	
301	301 clapping.wav	*CLAPPING*	
302	302 growup.wav	Oh for Christ's sake, grow up!	
303	303 mind.wav	Have you lost your fucking mind?	
304	304 shit.wav	He's full of shit!	
305	305 warn.wav	I warned you, you fat piece of shit!	
306	306 crazy.wav	*CRAZY LAUGHTER*	
307	307 TANKYOU.wav	Thank you very much!	
308	308 run.wav	Running away won't save ya!	
309	309 taps.wav	*FUNERAL TRUMPETS*	
310	310 theend.wav	The end.	
311	311 clueless.wav	Hello!	
312	312 urabitch.wav	You are a bitch!	
313	313 dontfail.wav	Don't fail me again!	
314	314 failed.wav	You have failed me for the last time.	
315	315 scully.wav	You did something incredibly stupid!	
316	316 fucku.wav	Fuck you!	
317	317 unaccept.wav	You made a mistake an that was entirely unacceptable.	
318	318 allwrong.wav	No, no, no, you're doing it all wrong!	
319	319 lt_screwy.wav	There's something screwy around here.	
320	320 Imperial.wav	*IMPERIAL MARCH*	
321	321 annoyou.wav	We interrupt this program to annoy you and make things generally irritating.	
322	322 pussy.wav	_FSF_[PL]Muad'Dib: 'This is paradise, this town is like a great big pussy, Just waiting to get fucked'.	
323	323 Zornmeister in da house!.wav	_FSF_Zornmeister is in da House!!!	
324	324 godfather2_certain.wav	_FSF_Godfather: 'If anything in this life is certain, if history has thaught us anything... 't is that you could kill anyone'.	
325	325 depressedmyself.wav	Oh, Fish Sticks. I've depressed myself. I have to go lie down.	
326	326 fisharefriends.wav	Fish are friends, not food.	
327	327 fishnetwork.wav	You're watching the Fish Network. All fish, all the time.	
328	328 wheeloffish.wav	Today, one of these lucky contestants will win his-or-her weight in fish, right here on… –Wheel Of Fish!	
329	329 wilkommen.wav	Wilkommen. Bienvenue. Welcome. Come on in	
330	330 sogladyoucame.wav	Helloooo!!!! OH!! So glad you could come!	
331	331 Bhereiam.wav	Here I am… hehehe	
332	332 Bhhey.wav	Hehehe Hé!	
333	333 agelimit.wav	Liar! There is not an age-limit...	
334	334 187langs.wav	If you do not speak English, I am at your disposal with 187 other languages along with their various dialects and subtongues.	
335	335 amusing.wav	Actually I think you are going to find this very amusing.	
336	336 awayforamin.wav	I was only away for a minute, Master.	
337	337 beenthere.wav	Nahhh!!! Been there, Done that!	
338	338 bonehead.wav	How long have you boneheads been here?	
339	339 botherme.wav	Go away, boy, ya bother me.	
340	340 changemind.wav	Sure you won't change your mind? –Is there something wrong with the one I have?'	
341	341 chatrats.wav	Ever seen any rats in this room? -All the time, why?	
342	342 choiceisillusion.wav	Choice is an illusion created between those with power and those without.	
343	343 choiceswedontunderstand.wav	We can never see past the choices we don't understand.	
344	344 chosenwisely.wav	You have chosen wisely.	
345	345 chosepoorly.wav	He chose poorly.	
346	346 clik.wav	That’s it dick. Click!	
347	347 comeandgo.wav	My! People come and go so quickly here!	
348	348 dumber.wav	Whoaa! Dumber then advertised.	
349	349 falseadvertising.wav	Do you know what this is? This, my friends, is false advertising!	
350	350 have2wait.wav	You mean we have to wait?!?	
351	351 homer_boring.wav	Boring!	
352	352 ladiesngentlemen.wav	Ladies... and Gentlemen	
353	353 langbarrier.wav	There's defiantly a language barrier here	
354	354 Ln_wait.wav	If I sit here any longer I'm gonna have one severe case of asteroids	
355	355 lookinto.wav	And now, ladies and gentlemen, as I look into your faces, and believe me, some of your faces need looking into…	
356	356 lowerclasses.wav	Sir, I consider you a member of the lower classes	
357	357 machinefriends.wav	I cannot stay here too long before my machine friends will become nervous and do something rash.	
358	358 next.wav	Oh, perfect. You'll hear from us. Next!	
359	359 noshedidnt.wav	Damn! No she didn't...	
360	360 notgettingpaid.wav	This is ridiculous. It's crazy. I feel like I'm babysitting, except I'm not getting paid.	
361	361 playingvideogame.wav	God damn it. Can we please just get back to playing our videogame, please?!	
362	362 replaced.wav	You can be replaced, you know...	
363	363 scat.wav	Scat. Skedaddle. Adios. Arrividerci. Ciao. Aloha. Bug off.	
364	364 thatsforbabies.wav	Héééé that's for babies!	
365	365 voteplease.wav	Vote, please. Vote, please.	
366	366 watchmate.wav	If I'm not mistaken, they are preparing to mate. -Do you think they might let me watch?	
367	367 chitchat.wav	What do you say we cut the chit-chat, a-hole?	
368	368 dayone.wav	If I were creating a world, I wouldn't mess about with butterflies and daffodils. I would've started with lasers, eight o'clock, day one. (explosion) Sorry.	
369	369 dontlikeme.wav	Now answer my question. You don't like me, why?	
370	370 famebitch.wav	Fame, ain't it a bitch?	
371	371 finalanswer.wav	Is that your final answer?	
372	372 fineday.wav	Well, it looks like it's going to be another fine day.	
373	373 for5minutes.wav	For five minutes could you not be yourself? For five minutes!	
374	374 game.wav	Ohh… I love this game!	
375	375 getnthru.wav	Any of this gettin' through to you, son?	
376	376 gettothepoint.wav	You want to get to the point, mister? Now what is it? What are you trying to tell us?	
377	377 gmorningimhere.wav	Good morning… I'm here...	
378	378 groucho3.wav	The next time I see you, remind me not to talk to you, will you?	
379	379 halches2.wav	Would you like to play a game of chess? I play very well.	
380	380 chekmate.wav	Checkmate!	
381	381 lostsense.wav	Don't tell me you lost your sense of humor already.	
382	382 lovetalk.wav	I just love the way you talk.	
383	383 militaryschool.wav	Well kids… How was military school??? -Yes Sir! Fine Sir!	
384	384 needsofmany1.wav	Logic clearly dictates that the needs of the many outweigh the needs of the few.	
385	385 notech.wav	God isn't interested in technology. He knows nothing of the potential of the microchip or the silicon revolution. Look how he spends his time, 43 species of parrots. . .nipples for men!	
386	386 notworthyofu.wav	This conversation is not worthy of you!	
387	387 nowords.wav	For some moments in life there are no words.	
388	388 offworldcolonies.wav	A new life awaits you in the Off-World Colonies... The chance to begin again in a golden land of opportunity and adventure.	
389	389 personalquestion.wav	By the way, do you mind if I ask you a personal question?	
390	390 reputation.wav	Once again our reputation precedes us.	
391	391 rosesarered.wav	Roses are red, violets are blue -I can't write poems, but I've been told I've many other good qualities.	
392	392 Yeehaa2.wav	Yeehaa	
393	393 Sb_lord.wav	I am Lord of this place	
394	394 shutup2.wav	Shut up' includes you.	
395	395 ShutUp.wav	Shut Up! Shut up! Shut up!	
396	396 spam2.wav	I don't want any Spam.	
397	397 spam5.wav	I don't like Spam!	
398	398 smalldreams.wav	But where is it written that all our dreams must be small ones?	
399	399 st_11_2.wav	You bought your ticket, might as well enjoy the show.	
400	400 st_19_2.wav	Death to the fascists!	
401	401 precisly.wav	Precisely!	
402	402 brothersgonnaworkitout.wav	The brothers gonna work it out…	
403	403 TheVonBondies-C_monC_mon.wav	Come' on Come' on Come' on Come' on Come' on Come' on	
404	404 Chug.wav	*chugging and burping*	
405	405 cookies.wav	Cookies mean so much to me!	
406	406 damngoodcoffee.wav	Damn good coffee... and hot!	
407	407 dinner.wav	Master, dinner is prepared!	
408	408 drugreal.wav	I know drug-real from real-real!	
409	409 drunktest.wav	Damn your drunk tests are hard!	
410	410 foodfite.wav	Food fight!!! #ICON1#ICON1#ICON1#ICON1#ICON1#ICON1	
411	411 foodservices.wav	And for those with less, uh, robust scores there's still wonderful opportunities in the food services sector.	
412	412 whatscookin.wav	Eh, what's cookin', Doc?	
413	413 hadenoughrum.wav	I'm not entirely sure that I've had enough rum to allow that kind of talk.	
414	414 wetmove.wav	I farted, it's wet and I don't wanna move	
415	415 st_16_3.wav	Did you have a nice tea-break?	
416	416 idrankwhat.wav	I was thinking of the immortal words of Socrates who said… 'I drank what?'	
417	417 livevan.wav	…We gonna end up eating a steady diet of government cheese and living in a van down by the river!	
418	418 Ln_bnch.wav	I'm hungry enough to eat a baby's butt through a park fence!	
419	419 Ln_fried.wav	Double battered n' Dixie fried!	
420	420 morecoffee.wav	Oh, you look like a man who could use more coffee.	
421	421 pizzasense.wav	Great Scott! My pizza-sense is tingling!	
422	422 roomservice.wav	I want room service!!!	
423	423 snack.wav	Snack? Did somebody say snack?	
424	424 hownovel.wav	Oh, take it easy, will ya? Come on, be nice. For you, I'm doing this show straight. No booze, no pot, no coke, no nothing... Oh, god. Oh, don't get me wrong, really. I don't snort cocaine. I just like the way it smells, that's all.	
425	425 stoned2.wav	But I am stoned!	
426	426 stoned.wav	What, are you stoned or stupid?	
427	427 wannagethigh.wav	You wanna get high?	
428	428 takealittlebreak.wav	We will take a little break, but we will be back in awhile… so..ehh.. don't nobody go nowhere.	
429	429 greedy.wav	I can't help it, I'm a greedy slob. It's my hobby.	
430	430 6inspikepenis.wav	No, seriously, listen. If there's ever anything I can do for you, or, more to the point, to you, you let me know, OK? –Can you hammer a 6-inch spike through a board with your penis? –Not right now. –A girl's got to have her standards.	
431	431 eunuch.wav	You're not a eunuch, are you?	
432	432 wife2orgasm.wav	"I've tried everything; the Embassy, the German government, the Consulate, I even talked to the U.N. Ambassador. It's no use. I just can't bring my wife to orgasm."	
433	433 lasttimesex.wav	The other day I called up my wife. I said to her, 'Honey, I've been thinking about the last time we had sex and I'm getting excited.' She said, 'Who is this?'	
434	434 lewinsky1.wav	I did not have sexual relations with that woman, Miss Lewinsky.	
435	435 noquestion.wav	There isn't a question we can't answer! –Here's one, geniuses. What's it like to kiss a girl? –Shut up.	
436	436 noquickfix.wav	No quick fix for porn!	
437	437 not2mentionass.wav	You know, before you turn around you guys will be our age. –God, don't remind me. –And you'll regret every night you didn't go out and grab a little life! –Not to mention a little ass!	
438	438 pleasure.wav	There's no crime in giving yourself over to pleasure.	
439	439 talkdirty.wav	I love it when you talk dirty...	
440	440 urgay2.wav	You're--You're gay! -Me? No, I'm not gay. -You're not? But y-y-you just kissed me. -O.k., I'm gay.	
441	441 Vx_die1.wav	But I love you	
442	442 Vx_die6.wav	Please, …Come with me...	
443	443 computersnevermakemistakes.wav	Computers never make mistakes. –Hard drive crash. Twenty seconds to meltdown. –Gotta go.	
444	444 damnyouinternet.wav	Damn you, Internet!	
445	445 Dexterdp.wav	Please, please don't push the button, you have no idea what it... ...does	
446	446 dratcomp.wav	Oh, drat these computers. They're so naughty and so complex I could pinch them.	
447	447 globalcommsystem.wav	Our story can be that this is nothing more than a freakish malfunction of a highly–sophisticated global comm system	
448	448 knowbetr.wav	You know better than to trust a strange computer.	
449	449 knowproblem.wav	I think you know what the problem is just as well as I do...	
450	450 launchdesign.wav	Would you classify that as a launch problem or a design problem?	
451	451 merecomp.wav	Could a mere computer solve the problem of Life, the Universe, and Everything?	
452	452 software.wav	Nice software!	
453	453 thesystemsucks.wav	The system's failed us. –The system sucks. We're going to have to go outside the system.	
454	454 WTFinternet.wav	What the fuck is the internet? –The internet is a communications tool used the world over where people can come together to bitch about movies and share pornography with one another.	
